Region,Site Name,HWISE Version,Current Status,Implementing Partners,Details,Setting,Sampling Strategy,Cognitive Interviewing,Participants,Dates of Data Collection,Sex,Main Sources of Drinking Water,"Main climate, precipitation (Köppen climate type)",GNI,Income Classification (2017 World Bank)
East Asia and Pacific,"Upolu, Samoa",1,Data Collection Ongoing,Yale University,Development of a group prenatal care intervention to address maternal and child NCD risk in American Samoa ,Rural,Randomized controlled design (intervention/control),No,TBD,Ongoing,TBD,TBD,no data,4100,Upper middle income
Europe and Central Asia,"Dushanbe, Tajikistan",1,Complete,"Arizona State University, M-Vector",Global Ethnohydrology Study - Arizona State University,,"Communities purposively selected, every 3rd residence sampled for freestanding buildings, every 5th residence within apartment buildings",Yes,225,"July 31, 2017 - August 13, 2017",Male (26.7%) Female (73.3%),Piped water (58.2%) Stand pipe (24.0%),"Warm temperature, summer dry, warm summer (Csb)",1110,Lower middle income
Latin American and the Caribbean,"San Borja, Bolivia",2,Complete,Pennsylvania State University,Standalone HWISE survey,Urban,Cluster random,No,247,"November 6, 2017 - December 23, 2017",Male (41.4%) Female (58.6%),Stand pipe (41.6%) Tanker truck (19.3%),"Equatorial, monsoonal (Am)",3070,Lower middle income
Latin American and the Caribbean,"Pecem & Cear�, Brazil",1,Complete,Texas A&M University,NSF1560962: Urban water provisioning systems and household water security,Urban,Cluster random,No,255,"April 4, 2017 - July 25, 2017",Male (29.8%) Female (70.2%),Piped water (59.6%) Protected dug well (34.8%),"Equatorial, summer dry (As)",8840,Upper middle income
Latin American and the Caribbean,"Honda, Colombia",1,Complete,"Pontificia Universidad Javeriana, Northwestern University",Standalone HWISE survey,Peri-urban,Cluster random,No,196,"July 18, 2017 - July 25, 2017",Male (36.4%) Female (63.6%),Piped water (74.5%) Stand pipe (20.4%),"Equatorial, fully humid (Af)",6320,Upper middle income
Latin American and the Caribbean,"Acatenango, Guatemala",1,Complete,Arizona State University ,Global Ethnohydrology Study - Arizona State University,Rural,Cluster random,No,101,"September 22, 2017 - October 6, 2017",Male (7.0%) Female (93.0%),Piped water (38.4%) Stand pipe (31.3%),"Warm temperature, winter dry, warm summer (Cwb)",3790,Lower middle income
Latin American and the Caribbean,"Chiquimula, Guatemala",2,Complete,McGill University ,Standalone HWISE survey,Rural,Single-stage systematic sampling,No,314,Missing,Male (13.4%) Female (86.6%),Piped water (65.0%) Unprotected spring (15.3%),"Equatorial, monsoonal (Am)",3790,Lower middle income
Latin American and the Caribbean,"Gressier & L�og�ne, Haiti",2,Complete,University of Florida,Standalone HWISE survey,Rural,Cluster random,No,292,"February 9, 2018 - March 23, 2018",Male (1.4%) Female (98.6%),Stand pipe (26.8%) Small water vendor (14.1%),"Equatorial, winter dry (Aw)",780,Low income
Latin American and the Caribbean,"M�rida, Mexico",1,Complete,Michigan State University,Standalone HWISE survey,Urban,Cluster random,No,251,"July 17, 2017 - August 18, 2017",Male (36.7%) Female (63.4%),Bagged/sachet water (49.8%) Other (33.5%),"Arid steppe, hot arid (BSh)",9040,Upper middle income
Latin American and the Caribbean,"Torre�n, Mexico",2,Complete,Texas A&M University,�,Urban,Cluster random,No,249,Missing,Missing,Bottled water (70.2%) Piped water (27.0%),"Arid steppe, hot arid (BSh)",9040,Upper middle income
Middle East and North Africa,"Beirut, Lebanon",2,Complete,American University of Beirut,Standalone HWISE survey,Urban,Cluster random,Yes,574,"December 28, 2017 - January 15, 2018",Male (36.2%) Female (63.8%),Small water vendor (54.5%) Bottled water (39.7%),"Warm temperature, summer dry, hot summer (Csa)",7680,Upper middle income
South Asia,"Dhaka and Chakaria, Bangladesh",2,Data Collection Ongoing,"International Centre for Diarrhoel Disease Research, Bangladesh (iccdr,b)",Standalone HWISE survey,Urban,Cluster random,No,TBD,Ongoing,TBD,TBD,"Equatorial, winter dry (Aw), Equatorial, monsoonal (Am)",1330,Lower middle income
South Asia,"Pune, India",2,Data Collection Ongoing,"Cornell University, Northwestern University ","NCT0251259: Evaluating the Pharmacokinetics, Tolerability, and Safety of Once-Weekly Rifapentine and Isoniazid in HIV-1-Infected and HIV-1-Uninfected Pregnant and Postpartum Women With Latent Tuberculosis Infection",Urban,"Parallel assignment, non-randomized",No,TBD,"February 21, 2018 - Ongoing",TBD,TBD,"Equatorial, winter dry (Aw)",1680,Lower middle income
South Asia,"Rajasthan, India",2,Complete,Anode Governance Lab,Standalone HWISE survey,Rural,Cluster random,No,248,"March 17, 2018 - March 29, 2018",Male (73.0%) Female (27.0%),Tanker truck (55.2%) Borehole/tubewell (26.2%),"Arid steppe, hot arid (BSh)",1680,Lower middle income
South Asia,"Kathmandu, Nepal",1,Complete,"Arizona State University, Kathmandu Upatyaka Khanepani Limited (KUKL)",Global Ethnohydrology Study - Arizona State University,Urban,Cluster random,Yes,263,"June 7, 2017 - June 18, 2017",Male (28.5%) Female (71.5%),Bottled water (49.8%) Piped water (31.6%),"Warm temperature, winter dry, hot summer (Cwa)",730,Low income
South Asia,"Punjab, Pakistan",2,Complete,University of Washington,Standalone HWISE survey,Rural,Cluster random,No,235,"February 26, 2018 - March 18, 2018",Male (42.6%) Female (57.5%),Stand pipe (26.6%) Borehole/tubewell (23.2%),"Arid, desert, hot arid (BWh)",1510,Lower middle income
South Asia,"Morogoro, Tanzania",2,Complete,"Workman Consulting, Northwestern University",Standalone HWISE survey,Urban,Cluster random,No,300,"March 24, 2018 - March 31, 2018",Male (21.7%) Female (78.3%),Stand pipe (70.7%) Other person (23.7%),"Equatorial, winter dry (Aw)",900,Low income
